_id,SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Telemetry Hourly River Water Discharge (m3/sec),discharge_change_m3s,time_difference_hours,discharge_rate_m3s_per_hour,level_score,rate_score,risk_score,risk_category,anomaly_score,anomaly_label,predicted_discharge_1h,anomaly_severity,forecast_severity,hybrid_hazard_score,hybrid_risk_category,forecast_available
40075,40075,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 15:30:00,6.8,-0.0099999999999997,0.25,-0.0399999999999991,40,10,28.0,LOW,-0.2869906041328778,NORMAL,,0.0,0,14.0,LOW,False
40076,40076,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 15:45:00,6.63,-0.1699999999999999,0.25,-0.6799999999999997,40,10,28.0,LOW,-0.3010528747223245,NORMAL,,0.0,0,14.0,LOW,False
40077,40077,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 16:00:00,6.65,0.0200000000000004,0.25,0.0800000000000018,40,10,28.0,LOW,-0.2889382532091336,NORMAL,,0.0,0,14.0,LOW,False
40078,40078,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 16:15:00,6.93,0.2799999999999993,0.25,1.1199999999999974,40,40,40.0,MODERATE,-0.292766021809595,NORMAL,,0.0,0,20.0,LOW,False
40079,40079,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 16:30:00,6.97,0.04,0.25,0.1600000000000001,40,10,28.0,LOW,-0.2916541960404027,NORMAL,,0.0,0,14.0,LOW,False
40080,40080,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 16:45:00,6.69,-0.2799999999999993,0.25,-1.1199999999999974,40,40,40.0,MODERATE,-0.2940265384193844,NORMAL,,0.0,0,20.0,LOW,False
40081,40081,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 17:00:00,6.48,-0.2099999999999999,0.25,-0.8399999999999999,40,10,28.0,LOW,-0.2996149736943136,NORMAL,,0.0,0,14.0,LOW,False
40082,40082,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 17:15:00,6.85,0.3699999999999992,0.25,1.4799999999999969,40,40,40.0,MODERATE,-0.2853034098739792,NORMAL,,0.0,0,20.0,LOW,False
40083,40083,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 17:30:00,6.85,0.0,0.25,0.0,40,10,28.0,LOW,-0.2724469766543686,NORMAL,,0.0,0,14.0,LOW,False
40084,40084,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 17:45:00,6.98,0.1300000000000007,0.25,0.5200000000000031,40,10,28.0,LOW,-0.2976084514719728,NORMAL,,0.0,0,14.0,LOW,False
40085,40085,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 18:00:00,6.15,-0.8300000000000001,0.25,-3.3200000000000003,10,40,22.0,LOW,-0.2160562011209856,NORMAL,,0.0,0,11.0,LOW,False
40086,40086,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 18:15:00,6.54,0.3899999999999997,0.25,1.5599999999999987,40,40,40.0,MODERATE,-0.2800384013220762,NORMAL,,0.0,0,20.0,LOW,False
40087,40087,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 18:30:00,6.89,0.3499999999999996,0.25,1.3999999999999986,40,40,40.0,MODERATE,-0.2781390555030518,NORMAL,,0.0,0,20.0,LOW,False
40088,40088,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 18:45:00,6.97,0.08,0.25,0.3200000000000003,40,10,28.0,LOW,-0.2812292854811724,NORMAL,,0.0,0,14.0,LOW,False
40089,40089,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 19:00:00,6.73,-0.2399999999999993,0.25,-0.9599999999999972,40,10,28.0,LOW,-0.2976918927996107,NORMAL,,0.0,0,14.0,LOW,False
40090,40090,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 19:15:00,6.56,-0.1700000000000008,0.25,-0.6800000000000033,40,10,28.0,LOW,-0.302136700766912,NORMAL,,0.0,0,14.0,LOW,False
40091,40091,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 19:30:00,6.75,0.1900000000000004,0.25,0.7600000000000016,40,10,28.0,LOW,-0.3024522759261938,NORMAL,,0.0,0,14.0,LOW,False
40092,40092,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 19:45:00,6.59,-0.1600000000000001,0.25,-0.6400000000000006,40,10,28.0,LOW,-0.3024432323546421,NORMAL,,0.0,0,14.0,LOW,False
40093,40093,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 20:00:00,6.78,0.1900000000000004,0.25,0.7600000000000016,40,10,28.0,LOW,-0.3011723033255877,NORMAL,,0.0,0,14.0,LOW,False
40094,40094,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 20:15:00,6.81,0.0299999999999993,0.25,0.1199999999999974,40,10,28.0,LOW,-0.2878885336863764,NORMAL,,0.0,0,14.0,LOW,False
40095,40095,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 20:30:00,6.49,-0.3199999999999994,0.25,-1.2799999999999976,40,40,40.0,MODERATE,-0.2939480431999211,NORMAL,,0.0,0,20.0,LOW,False
40096,40096,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 20:45:00,6.65,0.1600000000000001,0.25,0.6400000000000006,40,10,28.0,LOW,-0.3030392717173586,NORMAL,,0.0,0,14.0,LOW,False
40097,40097,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 21:00:00,7.02,0.3699999999999992,0.25,1.4799999999999969,40,40,40.0,MODERATE,-0.2851304714456719,NORMAL,,0.0,0,20.0,LOW,False
40098,40098,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 21:15:00,6.68,-0.3399999999999998,0.25,-1.3599999999999994,40,40,40.0,MODERATE,-0.2897927135903149,NORMAL,,0.0,0,20.0,LOW,False
